/*Temperaturdata for året 2012*/

/*Dato  Maksimum   Minimum*/


**************datafelt******************

29.07.12     20     13
30.07.12     21     15
31.07.12     23     16
01.08.12     11     4
02.08.12     12     5
03.08.12     10     5
04.08.12     13     6
05.08.12     10     3
06.08.12     15     10
07.08.12     14     9
08.08.12     14     7
09.08.12     12     5
10.08.12     11     4
11.08.12     10     3
12.08.12     12     6
13.08.12     15     9
14.08.12     12     7
15.08.12     10     3
16.08.12     10     3
17.08.12     11     4
18.08.12     15     9
19.08.12     10     3
20.08.12     11     4
21.08.12     15     9
22.08.12     112     5
23.08.12     10     3
24.08.12     15     9
25.08.12     12     6
26.08.12     15     10
27.08.12     11     5
28.08.12     11     4
29.08.12     15     10
30.08.12     11     6
31.08.12     13     6
01.09.12     13     6
02.09.12     12     6
03.09.12     12     5
04.09.12     12     6
05.09.12     15     8
06.09.12     13     6
07.09.12     12     6
08.09.12     11     4
09.09.12     11     4
10.09.12     12     5
11.09.12     11     5
12.09.12     12     5
13.09.12     11     6
14.09.12     15     9
15.09.12     12     6
16.09.12     12     6
17.09.12     11     4
18.09.12     14     9
19.09.12     11     4
20.09.12     14     9
21.09.12     15     9
22.09.12     14     9
23.09.12     14     9
24.09.12     14     7
25.09.12     14     7
26.09.12     10     3
27.09.12     11     6
28.09.12     10     5
29.09.12     14     8
30.09.12     13     7
01.10.12     3     -4
02.10.12     3     -3
03.10.12     1     -6
04.10.12     1     -6
05.10.12     2     -4
06.10.12     3     -4
07.10.12     5     -1
08.10.12     1     -6
09.10.12     4     -2
10.10.12     4     -2
11.10.12     2     -4
12.10.12     1     -4
13.10.12     3     -4
14.10.12     3     -3
15.10.12     0     -7
16.10.12     2     -4
17.10.12     2     -4
18.10.12     2     -5
19.10.12     0     -6
20.10.12     4     -2
21.10.12     1     -6
22.10.12     5     0
23.10.12     0     6
24.10.12     5     -1
25.10.12     1     -6
26.10.12     3     -4
27.10.12     5     -1
28.10.12     1     -6
29.10.12     0     -5
30.10.12     3     -2
31.10.12     1     -4
01.11.12     -4     -9
02.11.12     -4     -10
03.11.12     -5     -11
04.11.12     -4     -10
05.11.12     -5     -12
06.11.12     -5     -10
07.11.12     -5     -11
08.11.12     -2     -7
09.11.12     -4     -9
10.11.12     -3     -10
11.11.12     -4     -11
12.11.12     -2     -7
13.11.12     0     -7
14.11.12     -2     -7
15.11.12     -4     -11
16.11.12     -4     -10
17.11.12     -5     -12
18.11.12     0     -5
19.11.12     -3     -9
20.11.12     -5     -11
21.11.12     -4     -11
22.11.12     -3     -10
23.11.12     -2     -9
24.11.12     0     -6
25.11.12     0     -5
26.11.12     -4     -11
27.11.12     -2     -9
28.11.12     -5     -11
29.11.12     -4     -9
30.11.12     -2     -9
01.12.12     -3     -10
02.12.12     -8     -15
03.12.12     -7     -13
04.12.12     -8     -14
05.12.12     -7     -12
06.12.12     -7     -14
07.12.12     -3     -10
08.12.12     -8     -14
09.12.12     -8     -14
10.12.12     -6     -11
11.12.12     -3     -68
12.12.12     -7     -12
13.12.12     -7     -12
14.12.12     -6     -13
15.12.12     -3     -9
16.12.12     -8     -15
17.12.12     -8     -15
18.12.12     -8     -14
19.12.12     -6     -12
20.12.12     -3     -10
21.12.12     -6     -12
22.12.12     -5     -11
23.12.12     -6     -13
24.12.12     -3     -10
25.12.12     -8     -14
26.12.12     -3     -9
27.12.12     -5     -10
28.12.12     -4     -10
29.12.12     -5     -10
30.12.12     -5     -11
31.12.12     -8     -15
